stock_name,code,module,sub_module,role,purity_score,technical_barrier,order_status_score,localization_space_score,cost_weight_score,earnings_certainty_score,order_status,technology_status,performance_logic,risk_note,permission_note
三花智控,002050.SZ,执行器 / 伺服系统,关节模组,核心标的,86,82,78,76,86,82,客户验证/送样推进,热管理与机电执行部件协同,汽车零部件现金流支撑机器人期权,估值和订单兑现节奏风险,有订单/技术进展跟踪后才可列核心
拓普集团,601689.SH,执行器 / 伺服系统,结构件/执行器,核心标的,84,80,76,74,78,82,客户协同/样件推进,轻量化底盘与机器人结构件迁移,汽车Tier1能力支撑制造兑现,机器人收入占比仍需验证,核心需绑定量产节奏
绿的谐波,688017.SH,减速器,谐波减速器,核心标的,88,90,72,82,86,70,送样/小批验证,谐波减速器壁垒高,减速器价值量高但业绩弹性依赖放量,竞争和价格下降风险,技术壁垒强但需订单确认
鸣志电器,603728.SH,电机 / 驱动,空心杯/无框电机,观察标的,78,82,70,78,76,68,送样验证,电机控制与精密电机能力,电机环节国产替代弹性,业绩兑现不确定,观察量产订单
双环传动,002472.SZ,减速器,精密齿轮/减速器,观察标的,74,78,68,72,78,76,客户拓展,齿轮和减速器制造能力,汽车齿轮主业支撑机器人延展,机器人纯度不足,需确认机器人收入占比
北特科技,603009.SH,丝杠 / 精密传动,丝杠/精密加工,观察标的,76,76,66,82,84,62,样件推进,精密加工与丝杠潜力,丝杠国产替代空间大,主题波动和量产不确定,禁止无订单追高
五洲新春,603667.SH,丝杠 / 精密传动,丝杠/轴承,观察标的,76,76,66,82,84,64,样件推进,轴承/丝杠相关能力,高价值传动件弹性,订单披露不足,需公告/调研确认
贝斯特,300580.SZ,丝杠 / 精密传动,丝杠/精密部件,观察标的,78,78,68,82,84,66,样件推进,精密加工能力强,丝杠环节价值量高,估值波动风险,观察订单兑现
恒立液压,601100.SH,执行器 / 伺服系统,液压/丝杠潜在,观察标的,66,84,60,70,72,82,技术储备,液压与高端制造能力,主业强但机器人纯度较低,纯度不足,仅作产业链观察
江苏雷利,300660.SZ,电机 / 驱动,微特电机,观察标的,76,74,66,76,72,68,样品/客户推进,微特电机与组件能力,电机环节国产替代,毛利和竞争压力,需确认机器人订单
秦川机床,000837.SZ,丝杠 / 精密传动,丝杠/机床,观察标的,72,78,62,82,82,58,技术储备/样件,机床与传动制造基础,高端丝杠国产替代,业绩弹性不确定,概念转核心需订单
新坐标,603040.SH,丝杠 / 精密传动,精密传动件,概念标的,62,66,54,70,68,58,早期布局,精密零部件能力,受益国产替代但验证不足,纯度和订单不足,默认观察
中大力德,002896.SZ,减速器,减速器/电机,观察标的,72,74,62,76,78,60,客户拓展,减速器和小型传动能力,减速器国产替代,规模和竞争风险,需量产验证
丰立智能,301368.SZ,减速器,精密减速器,概念标的,68,70,58,74,76,54,早期验证,小模数齿轮/减速器,弹性高但兑现早期,波动较高,控制仓位
汇川技术,300124.SZ,控制器 / 计算,控制器/驱动,核心标的,72,88,74,78,70,90,客户拓展/平台能力,运动控制和工业自动化龙头,控制器/驱动国产替代,机器人纯度被主业摊薄,核心看控制生态
雷赛智能,002979.SZ,电机 / 驱动,运动控制/驱动,观察标的,74,78,66,76,72,68,客户拓展,运动控制与驱动能力,受益控制器国产替代,订单兑现不确定,观察趋势
禾川科技,688320.SH,电机 / 驱动,伺服/控制,观察标的,70,76,60,76,70,58,样件/客户拓展,伺服控制能力,国产伺服替代,盈利波动,控制风险
柯力传感,603662.SH,传感器,六维力传感器,核心标的,82,84,70,84,78,66,样件/客户验证,力传感器壁垒较高,六维力传感器国产替代,订单节奏风险,核心需持续验证
汉威科技,300007.SZ,传感器,传感器,观察标的,68,70,58,72,64,62,技术储备,多传感器平台,传感器扩展空间,机器人纯度不足,默认观察
奥比中光,688322.SH,传感器,视觉传感器,观察标的,72,78,62,70,66,56,客户拓展,3D视觉能力,视觉传感器应用扩展,盈利兑现风险,观察订单
韦尔股份,603501.SH,传感器,CIS/视觉芯片,观察标的,60,82,58,66,60,78,平台能力,图像传感器龙头,视觉链条受益但机器人纯度低,周期和纯度风险,仅作链条观察
思特威,688213.SH,传感器,CIS/视觉芯片,观察标的,64,78,58,66,60,62,平台能力,CIS能力,视觉链条受益,机器人纯度低,观察
华依科技,688071.SH,传感器,IMU/测试,概念标的,62,72,54,70,58,52,早期验证,惯导/测试能力,IMU国产替代,业绩波动,谨慎观察
东华测试,300354.SZ,传感器,力学测试/传感,观察标的,66,76,58,72,60,62,技术储备,力学测试与传感能力,测试传感环节扩展,纯度不足,观察
埃斯顿,002747.SZ,控制器 / 计算,控制器/本体,观察标的,72,76,62,70,68,64,机器人本体积累,工业机器人控制与本体能力,本体经验可迁移,盈利和竞争风险,观察量产能力
拓斯达,300607.SZ,控制器 / 计算,机器人集成,概念标的,58,62,52,60,54,52,早期布局,自动化集成能力,应用端扩展,纯度和壁垒不足,默认不列核心
机器人,300024.SZ,控制器 / 计算,机器人本体/系统,概念标的,62,70,56,64,58,54,技术储备,机器人本体经验,应用端弹性,业绩兑现弱,谨慎观察
中科创达,300496.SZ,控制器 / 计算,边缘计算/OS,观察标的,64,82,60,66,58,66,平台能力,边缘智能和操作系统能力,AI终端软件扩展,机器人收入纯度不足,观察
瑞芯微,603893.SH,控制器 / 计算,主控芯片,观察标的,62,78,58,68,62,72,平台能力,SoC和边缘计算能力,控制/视觉计算受益,机器人纯度低,观察
银轮股份,002126.SZ,结构件 / 轻量化系统,热管理/结构,观察标的,62,70,58,66,60,74,客户协同,热管理和制造能力,硬件链条外延,机器人纯度不足,观察
旭升集团,603305.SH,结构件 / 轻量化系统,轻量化结构件,观察标的,66,72,60,68,66,72,客户协同,铝合金轻量化制造,结构件迁移空间,纯度不足,观察订单
文灿股份,603348.SH,结构件 / 轻量化系统,轻量化结构件,观察标的,64,72,58,68,64,70,客户协同,铝压铸制造能力,结构件迁移空间,纯度不足,观察
爱柯迪,600933.SH,结构件 / 轻量化系统,轻量化结构件,观察标的,62,70,56,66,62,72,客户协同,精密铝合金部件,结构件迁移空间,纯度不足,观察
凌云股份,600480.SH,结构件 / 轻量化系统,结构件,概念标的,58,64,52,62,58,66,早期布局,车身结构件能力,轻量化迁移,机器人纯度低,默认不列核心
